name,to_buy,buy_volume,start_amount,end_amount
Coolant,27,20.2,0,0
Datacore - Mechanical Engineering,1,0.1,0,0
Datacore - Nuclear Physics,1,0.1,0,0
Enriched Uranium,12,9.0,0,0
Evaporite Deposits,100,5.0,0,0
Fullerides,0,0.0,100000,98920
Heavy Water,459,183.6,0,0
Helium Fuel Block,0,0.0,1000,1000
Hydrogen Fuel Block,0,0.0,1000,1000
Hydrogen Isotopes,1215,36.4,0,0
Liquid Ozone,945,378.0,0,0
Mechanical Parts,12,9.0,0,0
Morphite,14,0.1,0,0
Oxygen,60,11.4,0,0
R.A.M.- Ammunition Tech,0,0.0,100,99
Rifter,0,0.0,100,10
Robotics,3,9.0,0,0
Scandium,100,5.0,0,0
Silicates,100,5.0,0,0
Strontium Clathrates,54,162.0,0,0
Vanadium,100,5.0,0,0
